                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4326,                 2.7837,                 2.6462,                 1.3271,                0.52621,                0.33245,                0.28606,                0.17155,                 0.5263,                0.32607,                0.27976,                0.15108,                 1.3483,                 2.4651,                 1.7784,                 1.2939,              0.0033296,              0.0033296,              0.0033296
                      2,                 1.3178,                 2.4674,                 1.6602,                 1.2467,                0.50082,                0.39609,                  0.343,                0.21041,                0.49894,                0.38863,                0.33615,                0.18475,                 1.2592,                  2.355,                 1.5269,                 1.2297,              0.0066585,              0.0066585,              0.0066585
                      3,                 1.3096,                 2.4599,                 1.5922,                 1.2319,                0.40742,                0.39012,                0.32656,                0.19656,                0.39165,                 0.3803,                0.31756,                0.17104,                 1.3237,                 2.5688,                 1.5954,                 1.2868,               0.009983,               0.009983,               0.009983
                      4,                 1.3106,                 2.4579,                 1.5461,                 1.2332,                0.43288,                0.42185,                0.36289,                0.22306,                0.43338,                0.41342,                0.35593,                0.19845,                 1.2529,                 2.3476,                 1.4431,                 1.2258,              0.0099802,              0.0099802,              0.0099802
                      5,                 1.2829,                 2.4127,                 1.4747,                 1.2117,                0.44814,                0.43888,                0.38511,                0.23935,                0.44821,                0.43189,                0.37796,                0.21123,                 1.2452,                 2.3281,                 1.3864,                  1.206,              0.0099736,              0.0099736,              0.0099736
                      6,                 1.2588,                 2.3709,                 1.4211,                 1.1953,                0.43632,                0.45637,                  0.396,                0.24966,                0.43505,                0.44749,                0.38778,                0.21767,                 1.2036,                 2.2785,                  1.357,                 1.1818,               0.009967,               0.009967,               0.009967
                      7,                 1.2454,                 2.3447,                 1.3864,                  1.185,                0.47504,                0.46515,                0.40525,                0.25735,                0.47434,                0.45469,                0.39728,                0.22516,                 1.2021,                  2.228,                 1.2962,                 1.1737,              0.0099604,              0.0099604,              0.0099604
                      8,                 1.2365,                 2.3316,                 1.3622,                 1.1766,                0.47804,                0.47255,                0.41452,                0.26488,                0.48008,                0.46306,                0.40576,                0.23183,                 1.1846,                 2.1979,                 1.2656,                  1.163,              0.0099538,              0.0099538,              0.0099538
                      9,                 1.2236,                 2.3017,                 1.3402,                 1.1722,                0.47895,                0.47972,                0.42286,                0.27147,                0.47737,                0.46994,                0.41266,                0.23763,                 1.1708,                 2.1713,                 1.2521,                 1.1555,              0.0099472,              0.0099472,              0.0099472
                     10,                 1.2225,                 2.2991,                 1.3268,                 1.1695,                0.48946,                0.48314,                0.42684,                0.27627,                0.49232,                0.47289,                0.41667,                0.24154,                 1.1655,                 2.1648,                 1.2312,                 1.1497,              0.0099406,              0.0099406,              0.0099406
